County,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Shelby County, Ohio","49,259","49,159","49,203","48,995","49,030","48,765","48,738","48,622","48,590"
".Stark County, Ohio","374,511","374,891","375,108","375,546","374,715","373,447","372,003","371,248","370,606"
".Summit County, Ohio","541,325","540,726","541,926","542,445","541,788","541,003","541,514","541,353","541,013"
".Trumbull County, Ohio","208,834","207,191","206,328","204,973","203,328","201,715","200,281","198,539","197,974"
".Tuscarawas County, Ohio","92,483","92,413","92,602","92,652","92,739","92,560","92,308","92,079","91,987"
".Union County, Ohio","53,095","52,796","53,436","53,773","54,388","55,581","56,798","57,782","58,988"
".Van Wert County, Ohio","28,625","28,636","28,347","28,334","28,319","28,177","28,283","28,253","28,275"
".Vinton County, Ohio","13,380","13,221","13,303","13,210","13,082","13,022","13,082","13,145","13,085"
".Warren County, Ohio","215,332","217,212","219,216","221,267","223,864","226,539","228,709","231,945","234,602"
".Washington County, Ohio","61,607","61,447","61,364","61,160","61,020","60,598","60,491","60,111","59,911"
".Wayne County, Ohio","114,649","115,029","115,400","115,912","116,214","116,613","116,168","115,790","115,710"
".Williams County, Ohio","37,584","37,521","37,426","37,195","37,007","36,937","36,707","36,739","36,692"
".Wood County, Ohio","127,124","128,425","129,013","129,337","129,285","129,768","130,437","130,441","130,817"
".Wyandot County, Ohio","22,643","22,545","22,460","22,283","22,176","22,071","22,063","21,918","21,772"
